#rango de variables usado
#p_cruce_val = [0.4, 0.5, 0.6, 0.7]
#p_mutacion_val = [ 0.7, 0.8, 0.9, 1]
#tamano_poblacion_val = [6, 8, 10, 12]
#n_elementos_p_inicial_val = [3, 4, 5, 6, 7, 8]

{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 5.772001504898071}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 6.075671195983887}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 5.659424781799316}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 6.5183844566345215}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 5.668096542358398}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 6.371652126312256}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 5.256471395492554}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 6.793818712234497}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 6.275290012359619}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 5.82466721534729}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 6.396035671234131}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 6.490020990371704}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 6.169313907623291}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 5.512601375579834}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 7.288558721542358}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 5.703177213668823}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 6.570214509963989}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 5.592669486999512}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 6.833158493041992}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 5.560800552368164}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 6.600914239883423}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 6.042931795120239}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 9.193893432617188}
{'p_cruce': 0.4, 'p_mutacion': 0.7, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 6.279740333557129}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 7.01986289024353}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 5.719260931015015}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 6.6089067459106445}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 6.085508108139038}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 6.4252684116363525}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 5.6112329959869385}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 6.2166969776153564}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 7.991099834442139}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 6.472590684890747}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 6.492920875549316}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 6.927951812744141}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 5.766149282455444}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 6.123942852020264}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 6.381924629211426}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 5.865094423294067}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 6.110264301300049}
{'p_cruce': 0.4, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 5.257113218307495}
